,log message,log key,parameter value vector
132,10 18 18:01:57 attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000000', '0', 'ASSIGNED', 'RUNNING']"
133,10 18 18:01:57 ATTEMPT_START task_1445144423722_0020_m_000000,ATTEMPT_START task_<*>_<*>_m_<*>,"[0, '1445144423722', '0020', '000000']"
134,10 18 18:01:57 task_1445144423722_0020_m_000000 Task Transitioned from SCHEDULED to RUNNING,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000000', 'SCHEDULED', 'RUNNING']"
135,"10 18 18:01:57 getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:7168, vCores:-20> knownNMs=4","getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>","[0, '1445144423722', '0020', '4', '0', '0', '0', '<', '7168', '-20>', '4']"
136,"10 18 18:01:57 Recalculating schedule, headroom=<memory:7168, vCores:-20>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '7168', '-20>']"
137,10 18 18:01:57 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
138,10 18 18:01:58 Got allocated containers 1,Got allocated containers <*>,"[1, '1']"
139,10 18 18:01:58 Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MININT-FNANLI5.fareast.corp.microsoft.com']"
140,10 18 18:01:58 Assigned container container_1445144423722_0020_01_000003 to attempt_1445144423722_0020_m_000001_0,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '01', '000003', '1445144423722', '0020', '000001', '0']"
141,"10 18 18:01:58 Recalculating schedule, headroom=<memory:5120, vCores:-22>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '5120', '-22>']"
142,10 18 18:01:58 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
143,10 18 18:01:58 After Scheduling: PendingReds:1 ScheduledMaps:8 ScheduledReds:0 AssignedMaps:2 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:2 ContRel:0 HostLocal:0 RackLocal:2,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"[0, '1', '8', '0', '2', '0', '0', '0', '2', '0', '0', '2']"
144,10 18 18:01:58 Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MININT-FNANLI5.fareast.corp.microsoft.com']"
145,10 18 18:01:58 attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000001', '0', 'UNASSIGNED', 'ASSIGNED']"
146,10 18 18:01:58 Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000003 taskAttempt attempt_1445144423722_0020_m_000001_0,Processing the event EventType: <*> for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>,"[0, 'CONTAINER_REMOTE_LAUNCH', '1445144423722', '0020', '01', '000003', '1445144423722', '0020', '000001', '0']"
147,10 18 18:01:58 Launching attempt_1445144423722_0020_m_000001_0,Launching attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000001', '0']"
148,10 18 18:01:58 Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,Opening proxy : <*>,"[0, 'MININT-FNANLI5.fareast.corp.microsoft.com:52368']"
149,10 18 18:01:58 Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000001_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>,"[0, '1445144423722', '0020', '000001', '0', '13562']"
150,10 18 18:01:58 TaskAttempt: [attempt_1445144423722_0020_m_000001_0] using containerId: [container_1445144423722_0020_01_000003 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368],TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: <*>,"[0, '1445144423722', '0020', '000001', '0', '1445144423722', '0020', '01', '000003', '[MININT-FNANLI5.fareast.corp.microsoft.com:52368]']"
151,10 18 18:01:58 attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000001', '0', 'ASSIGNED', 'RUNNING']"
152,10 18 18:01:58 ATTEMPT_START task_1445144423722_0020_m_000001,ATTEMPT_START task_<*>_<*>_m_<*>,"[0, '1445144423722', '0020', '000001']"
153,10 18 18:01:58 task_1445144423722_0020_m_000001 Task Transitioned from SCHEDULED to RUNNING,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000001', 'SCHEDULED', 'RUNNING']"
154,"10 18 18:01:59 getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:4096, vCores:-23> knownNMs=4","getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>","[1, '1445144423722', '0020', '4', '0', '0', '0', '<', '4096', '-23>', '4']"
155,"10 18 18:01:59 Recalculating schedule, headroom=<memory:4096, vCores:-23>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '4096', '-23>']"
156,10 18 18:01:59 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
157,10 18 18:02:00 Got allocated containers 1,Got allocated containers <*>,"[1, '1']"
158,10 18 18:02:00 Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MININT-FNANLI5.fareast.corp.microsoft.com']"
159,10 18 18:02:00 Assigned container container_1445144423722_0020_01_000004 to attempt_1445144423722_0020_m_000002_0,Assigned container container_<*>_<*>_<*>_<*> to attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '01', '000004', '1445144423722', '0020', '000002', '0']"
160,"10 18 18:02:00 Recalculating schedule, headroom=<memory:3072, vCores:-24>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '3072', '-24>']"
161,10 18 18:02:00 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
162,10 18 18:02:00 After Scheduling: PendingReds:1 ScheduledMaps:7 ScheduledReds:0 AssignedMaps:3 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:3 ContRel:0 HostLocal:0 RackLocal:3,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,"[0, '1', '7', '0', '3', '0', '0', '0', '3', '0', '0', '3']"
163,10 18 18:02:00 Resolved MININT-FNANLI5.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack,"[0, 'MININT-FNANLI5.fareast.corp.microsoft.com']"
164,10 18 18:02:00 attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000002', '0', 'UNASSIGNED', 'ASSIGNED']"
165,10 18 18:02:00 Processing the event EventType: CONTAINER_REMOTE_LAUNCH for container container_1445144423722_0020_01_000004 taskAttempt attempt_1445144423722_0020_m_000002_0,Processing the event EventType: <*> for container container_<*>_<*>_<*>_<*> taskAttempt attempt_<*>_<*>_m_<*>_<*>,"[0, 'CONTAINER_REMOTE_LAUNCH', '1445144423722', '0020', '01', '000004', '1445144423722', '0020', '000002', '0']"
166,10 18 18:02:00 Launching attempt_1445144423722_0020_m_000002_0,Launching attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000002', '0']"
167,10 18 18:02:00 Opening proxy : MININT-FNANLI5.fareast.corp.microsoft.com:52368,Opening proxy : <*>,"[0, 'MININT-FNANLI5.fareast.corp.microsoft.com:52368']"
168,10 18 18:02:01 Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000002_0 : 13562,Shuffle port returned by ContainerManager for attempt_<*>_<*>_m_<*>_<*> : <*>,"[1, '1445144423722', '0020', '000002', '0', '13562']"
169,10 18 18:02:01 TaskAttempt: [attempt_1445144423722_0020_m_000002_0] using containerId: [container_1445144423722_0020_01_000004 on NM: [MININT-FNANLI5.fareast.corp.microsoft.com:52368],TaskAttempt: [attempt_<*>_<*>_m_<*>_<*>] using containerId: [container_<*>_<*>_<*>_<*> on NM: <*>,"[0, '1445144423722', '0020', '000002', '0', '1445144423722', '0020', '01', '000004', '[MININT-FNANLI5.fareast.corp.microsoft.com:52368]']"
170,10 18 18:02:01 attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<*>_<*>_m_<*>_<*> TaskAttempt Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000002', '0', 'ASSIGNED', 'RUNNING']"
171,10 18 18:02:01 ATTEMPT_START task_1445144423722_0020_m_000002,ATTEMPT_START task_<*>_<*>_m_<*>,"[0, '1445144423722', '0020', '000002']"
172,10 18 18:02:01 task_1445144423722_0020_m_000002 Task Transitioned from SCHEDULED to RUNNING,task_<*>_<*>_m_<*> Task Transitioned from <*> to <*>,"[0, '1445144423722', '0020', '000002', 'SCHEDULED', 'RUNNING']"
173,"10 18 18:02:02 getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:1024, vCores:-26> knownNMs=4","getResources() for application_<*>_<*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*>> knownNMs=<*>","[1, '1445144423722', '0020', '4', '0', '0', '0', '<', '1024', '-26>', '4']"
174,"10 18 18:02:02 Recalculating schedule, headroom=<memory:1024, vCores:-26>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '1024', '-26>']"
175,10 18 18:02:02 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
176,10 18 18:02:02 Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for job_<*>_<*> (auth:SIMPLE),"[0, '1445144423722', '0020']"
177,10 18 18:02:02 JVM with ID : jvm_1445144423722_0020_m_000002 asked for a task,JVM with ID : jvm_<*>_<*>_m_<*> asked for a task,"[0, '1445144423722', '0020', '000002']"
178,10 18 18:02:02 JVM with ID: jvm_1445144423722_0020_m_000002 given task: attempt_1445144423722_0020_m_000000_0,JVM with ID: jvm_<*>_<*>_m_<*> given task: attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000002', '1445144423722', '0020', '000000', '0']"
179,"10 18 18:02:03 Recalculating schedule, headroom=<memory:1024, vCores:-26>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '1024', '-26>']"
180,10 18 18:02:03 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
181,"10 18 18:02:04 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
182,10 18 18:02:04 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
183,"10 18 18:02:05 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
184,10 18 18:02:05 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
185,10 18 18:02:05 Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for job_<*>_<*> (auth:SIMPLE),"[0, '1445144423722', '0020']"
186,10 18 18:02:05 JVM with ID : jvm_1445144423722_0020_m_000003 asked for a task,JVM with ID : jvm_<*>_<*>_m_<*> asked for a task,"[0, '1445144423722', '0020', '000003']"
187,10 18 18:02:05 JVM with ID: jvm_1445144423722_0020_m_000003 given task: attempt_1445144423722_0020_m_000001_0,JVM with ID: jvm_<*>_<*>_m_<*> given task: attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000003', '1445144423722', '0020', '000001', '0']"
188,"10 18 18:02:06 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
189,10 18 18:02:06 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
190,"10 18 18:02:07 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
191,10 18 18:02:07 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
192,"10 18 18:02:08 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
193,10 18 18:02:08 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
194,"10 18 18:02:09 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
195,10 18 18:02:09 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
196,"10 18 18:02:10 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
197,10 18 18:02:10 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
198,"10 18 18:02:11 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
199,10 18 18:02:11 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
200,"10 18 18:02:12 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
201,10 18 18:02:12 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
202,10 18 18:02:12 Auth successful for job_1445144423722_0020 (auth:SIMPLE),Auth successful for job_<*>_<*> (auth:SIMPLE),"[0, '1445144423722', '0020']"
203,10 18 18:02:12 JVM with ID : jvm_1445144423722_0020_m_000004 asked for a task,JVM with ID : jvm_<*>_<*>_m_<*> asked for a task,"[0, '1445144423722', '0020', '000004']"
204,10 18 18:02:12 JVM with ID: jvm_1445144423722_0020_m_000004 given task: attempt_1445144423722_0020_m_000002_0,JVM with ID: jvm_<*>_<*>_m_<*> given task: attempt_<*>_<*>_m_<*>_<*>,"[0, '1445144423722', '0020', '000004', '1445144423722', '0020', '000002', '0']"
205,"10 18 18:02:13 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
206,10 18 18:02:13 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
207,"10 18 18:02:14 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
208,10 18 18:02:14 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
209,"10 18 18:02:15 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
210,10 18 18:02:15 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
211,10 18 18:02:17 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.023958297,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[2, '1445144423722', '0020', '000000', '0', '0', '023958297']"
212,"10 18 18:02:17 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[0, '<', '0', '-27>']"
213,10 18 18:02:17 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
214,"10 18 18:02:18 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
215,10 18 18:02:18 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
216,"10 18 18:02:19 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
217,10 18 18:02:19 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
218,"10 18 18:02:20 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
219,10 18 18:02:20 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
220,10 18 18:02:20 Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.065791264,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000000', '0', '0', '065791264']"
221,"10 18 18:02:21 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
222,10 18 18:02:21 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
223,10 18 18:02:21 Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.05713628,Progress of TaskAttempt attempt_<*>_<*>_m_<*>_<*> is : <*>.<*>,"[0, '1445144423722', '0020', '000001', '0', '0', '05713628']"
224,"10 18 18:02:22 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
225,10 18 18:02:22 Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,"[0, '1']"
226,"10 18 18:02:23 Recalculating schedule, headroom=<memory:0, vCores:-27>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>>","[1, '<', '0', '-27>']"
